,negative,positive,uncertainty,litigious,constraining,interesting,word
9,True,False,False,False,False,False,ABANDON
10,True,False,False,False,False,False,ABANDONED
11,True,False,False,False,False,False,ABANDONING
12,True,False,False,False,False,False,ABANDONMENT
13,True,False,False,False,False,False,ABANDONMENTS
14,True,False,False,False,False,False,ABANDONS
51,True,False,False,False,False,False,ABDICATED
52,True,False,False,False,False,False,ABDICATES
53,True,False,False,False,False,False,ABDICATING
54,True,False,False,False,False,False,ABDICATION
55,True,False,False,False,False,False,ABDICATIONS
70,True,False,False,False,False,False,ABERRANT
71,True,False,False,False,False,False,ABERRATION
72,True,False,False,False,False,False,ABERRATIONAL
73,True,False,False,False,False,False,ABERRATIONS
79,True,False,False,False,False,False,ABETTING
82,False,False,True,False,False,False,ABEYANCE
83,False,False,True,False,False,False,ABEYANCES
94,False,False,False,False,True,False,ABIDE
97,False,False,False,False,True,False,ABIDING
125,False,True,False,False,False,False,ABLE
138,True,False,False,False,False,False,ABNORMAL
139,True,False,False,False,False,False,ABNORMALITIES
140,True,False,False,False,False,False,ABNORMALITY
141,True,False,False,False,False,False,ABNORMALLY
145,True,False,False,False,False,False,ABOLISH
146,True,False,False,False,False,False,ABOLISHED
147,True,False,False,False,False,False,ABOLISHES
148,True,False,False,False,False,False,ABOLISHING
187,False,False,False,True,False,False,ABOVEMENTIONED
212,True,False,False,True,False,False,ABROGATE
213,True,False,False,True,False,False,ABROGATED
214,True,False,False,True,False,False,ABROGATES
215,True,False,False,True,False,False,ABROGATING
216,True,False,False,True,False,False,ABROGATION
217,True,False,False,True,False,False,ABROGATIONS
220,True,False,False,False,False,False,ABRUPT
223,True,False,False,False,False,False,ABRUPTLY
224,True,False,False,False,False,False,ABRUPTNESS
246,True,False,False,False,False,False,ABSENCE
247,True,False,False,False,False,False,ABSENCES
251,True,False,False,False,False,False,ABSENTEEISM
277,False,False,False,True,False,False,ABSOLVE
278,False,False,False,True,False,False,ABSOLVED
279,False,False,False,True,False,False,ABSOLVES
280,False,False,False,True,False,False,ABSOLVING
334,False,True,False,False,False,False,ABUNDANCE
336,False,True,False,False,False,False,ABUNDANT
338,True,False,False,False,False,False,ABUSE
339,True,False,False,False,False,False,ABUSED
342,True,False,False,False,False,False,ABUSES
343,True,False,False,False,False,False,ABUSING
344,True,False,False,False,False,False,ABUSIVE
345,True,False,False,False,False,False,ABUSIVELY
346,True,False,False,False,False,False,ABUSIVENESS
423,False,False,False,True,False,False,ACCESSION
424,False,False,False,True,False,False,ACCESSIONS
429,True,False,False,False,False,False,ACCIDENT
430,True,False,False,False,False,False,ACCIDENTAL
431,True,False,False,False,False,False,ACCIDENTALLY
433,True,False,False,False,False,False,ACCIDENTS
435,False,True,False,False,False,False,ACCLAIMED
474,False,True,False,False,False,False,ACCOMPLISH
475,False,True,False,False,False,False,ACCOMPLISHED
476,False,True,False,False,False,False,ACCOMPLISHES
477,False,True,False,False,False,False,ACCOMPLISHING
478,False,True,False,False,False,False,ACCOMPLISHMENT
479,False,True,False,False,False,False,ACCOMPLISHMENTS
571,True,False,False,False,False,False,ACCUSATION
572,True,False,False,False,False,False,ACCUSATIONS
576,True,False,False,False,False,False,ACCUSE
577,True,False,False,False,False,False,ACCUSED
580,True,False,False,False,False,False,ACCUSES
581,True,False,False,False,False,False,ACCUSING
617,False,True,False,False,False,False,ACHIEVE
618,False,True,False,False,False,False,ACHIEVED
619,False,True,False,False,False,False,ACHIEVEMENT
620,False,True,False,False,False,False,ACHIEVEMENTS
623,False,True,False,False,False,False,ACHIEVES
624,False,True,False,False,False,False,ACHIEVING
674,True,False,False,False,False,False,ACQUIESCE
675,True,False,False,False,False,False,ACQUIESCED
680,True,False,False,False,False,False,ACQUIESCES
681,True,False,False,False,False,False,ACQUIESCING
686,False,False,False,True,False,False,ACQUIREES
694,False,False,False,True,False,False,ACQUIRORS
701,True,False,False,True,False,False,ACQUIT
702,True,False,False,True,False,False,ACQUITS
703,True,False,False,True,False,False,ACQUITTAL
704,True,False,False,True,False,False,ACQUITTALS
705,False,False,False,True,False,False,ACQUITTANCE
706,False,False,False,True,False,False,ACQUITTANCES
707,True,False,False,True,False,False,ACQUITTED
708,True,False,False,True,False,False,ACQUITTING
850,False,False,False,True,False,False,ADDENDUMS
898,False,True,False,False,False,False,ADEQUATELY
932,False,False,False,True,False,False,ADJOURN
933,False,False,False,True,False,False,ADJOURNED
934,False,False,False,True,False,False,ADJOURNING
935,False,False,False,True,False,False,ADJOURNMENT
936,False,False,False,True,False,False,ADJOURNMENTS
937,False,False,False,True,False,False,ADJOURNS
938,False,False,False,True,False,False,ADJUDGE
939,False,False,False,True,False,False,ADJUDGED
940,False,False,False,True,False,False,ADJUDGES
941,False,False,False,True,False,False,ADJUDGING
942,False,False,False,True,False,False,ADJUDICATE
943,False,False,False,True,False,False,ADJUDICATED
944,False,False,False,True,False,False,ADJUDICATES
945,False,False,False,True,False,False,ADJUDICATING
946,False,False,False,True,False,False,ADJUDICATION
947,False,False,False,True,False,False,ADJUDICATIONS
948,False,False,False,True,False,False,ADJUDICATIVE
949,False,False,False,True,False,False,ADJUDICATOR
950,False,False,False,True,False,False,ADJUDICATORS
951,False,False,False,True,False,False,ADJUDICATORY
1008,False,False,False,True,False,False,ADMISSIBILITY
1009,False,False,False,True,False,False,ADMISSIBLE
1010,False,False,False,True,False,False,ADMISSIBLY
1011,False,False,False,True,False,False,ADMISSION
1012,False,False,False,True,False,False,ADMISSIONS
1104,True,False,False,False,False,False,ADULTERATE
1105,True,False,False,False,False,False,ADULTERATED
1107,True,False,False,False,False,False,ADULTERATING
1108,True,False,False,False,False,False,ADULTERATION
1109,True,False,False,False,False,False,ADULTERATIONS
1128,False,True,False,False,False,False,ADVANCEMENT
1129,False,True,False,False,False,False,ADVANCEMENTS
1130,False,True,False,False,False,False,ADVANCES
1131,False,True,False,False,False,False,ADVANCING
1132,False,True,False,False,False,False,ADVANTAGE
1133,False,True,False,False,False,False,ADVANTAGED
1134,False,True,False,False,False,False,ADVANTAGEOUS
1135,False,True,False,False,False,False,ADVANTAGEOUSLY
1136,False,True,False,False,False,False,ADVANTAGES
1160,True,False,False,False,False,False,ADVERSARIAL
1161,True,False,False,False,False,False,ADVERSARIES
1162,True,False,False,False,False,False,ADVERSARY
1163,True,False,False,False,False,False,ADVERSE
1164,True,False,False,False,False,False,ADVERSELY
1169,True,False,False,False,False,False,ADVERSITIES
1170,True,False,False,False,False,False,ADVERSITY
1296,False,False,False,True,False,False,AFFIDAVIT
1297,False,False,False,True,False,False,AFFIDAVITS
1307,False,False,False,True,False,False,AFFIRMANCE
1348,False,False,False,True,False,False,AFFREIGHTMENT
1363,False,False,False,True,False,False,AFOREDESCRIBED
1364,False,False,False,True,False,False,AFOREMENTIONED
1365,False,False,False,True,False,False,AFORESAID
1366,False,False,False,True,False,False,AFORESTATED
1389,True,False,False,False,False,False,AFTERMATH
1390,True,False,False,False,False,False,AFTERMATHS
1407,True,False,False,False,False,False,AGAINST
1456,True,False,False,False,False,False,AGGRAVATE
1457,True,False,False,False,False,False,AGGRAVATED
1458,True,False,False,False,False,False,AGGRAVATES
1459,True,False,False,False,False,False,AGGRAVATING
1461,True,False,False,False,False,False,AGGRAVATION
1462,True,False,False,False,False,False,AGGRAVATIONS
1473,False,False,False,False,False,True,AGGRESSIVE
1474,False,False,False,False,False,True,AGGRESSIVELY
1475,False,False,False,False,False,True,AGGRESSIVENESS
1480,False,False,False,True,False,False,AGGRIEVED
1743,True,False,False,False,False,False,ALERTED
1744,True,False,False,False,False,False,ALERTING
1776,True,False,False,False,False,False,ALIENATE
1777,True,False,False,False,False,False,ALIENATED
1778,True,False,False,False,False,False,ALIENATES
1779,True,False,False,False,False,False,ALIENATING
1780,True,False,False,False,False,False,ALIENATION
1781,True,False,False,False,False,False,ALIENATIONS
1837,True,False,False,True,False,False,ALLEGATION
1838,True,False,False,True,False,False,ALLEGATIONS
1839,True,False,False,True,False,False,ALLEGE
1840,True,False,False,True,False,False,ALLEGED
